Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,20,Moderate-Low,20,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Moderate-Low,13,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,19,Moderate-Low,19,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-High,21,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,22,Low,22,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,18,Moderate-Low,18,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,18,Moderate-High,18,Moderate-High,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,18,High,18,High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-High,21,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,22,High,22,High,FALSE,FALSE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,17,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,18,Moderate-High,18,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,22,Low,22,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,20,Moderate-High,20,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,17,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,14,Low,14,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-High,21,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Moderate-Low,13,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-High,21,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,20,Moderate-Low,20,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,21,Moderate-High,21,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,21,Moderate-High,21,Moderate-High,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,16,High,16,High,FALSE,FALSE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,21,Low,21,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,17,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,22,Moderate-Low,22,Moderate-Low,FALSE,FALSE
